Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MD,City of Bowie ,Drinking Water Pipe Replacement Project,"$1,092,000.00 ",Hoyer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris  County  Flood  Control  District  , Cypress  Creek  Regional  Stormwater  Detention Basin,"$1,000,000.00 ",Hunt,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris County Flood Control District ,Schiel Road Stormwater Detention Basin,"$1,000,000.00 ",Hunt,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Jersey Village ,Water Improvement Project,"$1,000,000.00 ",Hunt,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Pueblo County ,Drinking Water Infrastructure Improvements,"$1,000,000.00 ",Hurd,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Norwood Water Commission ,Water Line Project,"$1,250,000.00 ",Hurd,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of De Beque ,Secondary Water Source Project,"$320,000.00 ",Hurd,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Fallbrook Public Utility District ,Water Line Replacement,"$1,000,000.00 ",Issa,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Poway ,Water Supply Project,"$1,000,000.00 ",Issa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Eastern Municipal Water District ,Sewer Infrastructure Project,"$1,000,000.00 ",Issa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Padre Dam Municipal Water District ,Water Purification Project,"$1,000,000.00 ",Issa,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Borrego Water District ,Water Line Replacement,"$750,000.00 ",Issa,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Rancho California Water District ,Water Treatment Facility Construction,"$1,000,000.00 ",Issa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Washington Suburban Sanitary Commission ,Sewer Rehabilitation,"$1,092,000.00 ",Ivey,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Amarillo ,Wastewater Treatment Plant Project,"$1,750,000.00 ",Jackson (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Runaway Bay ,Wastewater Infrastructure Improvements,"$1,000,000.00 ",Jackson (TX),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,Red River Authority of Texas ,Foard County Water System Project,"$768,000.00 ",Jackson (TX),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,Red River Authority of Texas ,Truscott Gilliland Water System Project,"$896,000.00 ",Jackson (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,Southwest Suburban Sewer District ,Sewer Rehabilitation Project,"$1,092,000.00 ",Jayapal,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,DeKalb County ,Lithonia Booster Pump Station Standby Power Project,"$726,625.00 ",Johnson (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,DeKalb County ,Water Storage Tank Fill Valve Replacement Project,"$561,150.00 ",Johnson (GA) / Wil- liams (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Farmers Branch ,Waterline Replacement Project,"$1,092,000.00 ",Johnson (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Ravenna Township ,Wastewater Collection System,"$2,000,000.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Ashtabula County ,Water Infrastructure Extension,"$1,488,000.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Andover ,Water Tower Rehabilitation,"$1,000,000.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Kirtland ,Sanitary Sewer Extension,"$2,000,000.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Chardon ,Water Tank Upgrade,"$1,280,000.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Fairport Harbor Village ,Water System Upgrade,"$929,600.00 ",Joyce (OH),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Guilford Township Municipal Authority ,Sewer Improvement Project,"$2,000,000.00 ",Joyce (PA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Fairfield Municipal Authority ,Sanitary Sewer Rehabilitation,"$1,000,000.00 ",Joyce (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Defiance ,Water Distribution Upgrades,"$960,000.00 ",Kaptur,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Mount Arlington ,Stormwater Improvement Project,"$560,000.00 ",Kean,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Hopatcong ,Lead Service Line Replacement,"$1,000,000.00 ",Kean,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Sparta Township ,Pump Station Improvements,"$400,000.00 ",Kean,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Rockland ,Wastewater Treatment Plant and Collection System Upgrades,"$1,092,000.00 ",Keating,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Wareham ,Sewer Improvements,"$1,092,000.00 ",Keating,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Westport ,Trunk Water and Sewer—Sections 2 and 3,"$1,092,000.00 ",Keating,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Southland Water Agency ,Water Intake Pipe Project,"$1,092,000.00 ",Kelly (IL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MS,City of Oxford,Water Infrastructure Improvements,"$1,000,000.00 ",Kelly (MS),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Hermitage Municipal Authority ,Sewer Upgrades,"$913,600.00 ",Kelly (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Cranberry Township ,Water Line Replacement,"$1,000,000.00 ",Kelly (PA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,City of Meadville ,force Main Replacement,"$750,000.00 ",Kelly (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Chicora Borough Water Department ,Water Plant Improvement Project,"$1,250,000.00 ",Kelly (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Buffalo Sewer Authority ,Lead Service Line Replacement Project,"$1,092,000.00 ",Kennedy (NY),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Erie County Water Authority ,Lead Service Line Replacement Program,"$1,092,000.00 ",Kennedy (NY),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Grand Island ,Water Treatment Plant Filter Upgrades,"$1,092,000.00 ",Kennedy (NY),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Tonawanda ,Old Town Waterline Replacement,"$1,092,000.00 ",Kennedy (NY),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Draper City Waterline Transmission and Distribution Upgrades,,"$2,000,000.00 ",Kennedy (UT),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Jose ,Restoration Project,"$1,092,000.00 ",Khanna,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Sunnyvale ,Cleanwater Center Project,"$1,092,000.00 ",Khanna,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Santa Clara Valley Water District ,Silicon Valley Regional Purified Water Facility,"$1,092,000.00 ",Khanna,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Suffolk ,Sanitary Sewer Improvements,"$1,250,000.00 ",Kiggans,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Virginia Beach ,Stormwater Storage Project,"$1,000,000.00 ",Kiggans,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Suffolk ,Sanitary Sewer Relocation Project,"$1,000,000.00 ",Kiggans,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Hampton Roads Sanitation District ,Onancock Pump Station Project,"$750,000.00 ",Kiggans,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Town of Parksley ,Water Storage Improvement Project,"$750,000.00 ",Kiggans,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,South Tahoe Public Utility District ,Water Improvement Project,"$1,200,000.00 ",Kiley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Tahoe City Public Utility District ,Water Infrastructure Improvement Project,"$1,250,000.00 ",Kiley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Orange County Water District ,PFAS Treatment Project,"$750,000.00 ",Kim,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Santa Margarita Water District ,Water Treatment Plant,"$750,000.00 ",Kim,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,DuPage County ,Newton & Second Ave Flood Reduction Project,"$240,000.00 ",Krishnamoorthi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Fox River Water Reclamation District ,Influent Bar Screen Installation Project,"$1,092,000.00 ",Krishnamoorthi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,DuPage Water Commission ,Regional Source Water Project Stage 1,"$1,000,000.00 ",Krishnamoorthi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Elk Grove ,Water Main Lining Project,"$1,092,000.00 ",Krishnamoorthi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,Town of Arlington ,Wastewater Treatment Plant Expansion,"$1,000,000.00 ",Kustoff,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,City of Bartlett ,Sewer Equalization Tank Installation,"$1,000,000.00 ",Kustoff,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,Jackson Energy Authority ,Water and Wastewater Extension Project,"$750,000.00 ",Kustoff,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TN,City of Henderson ,Water Main Replacement Project,"$750,000.00 ",Kustoff,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,City of Selmer ,Sewer System Upgrade,"$750,000.00 ",Kustoff,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Dixon ,Flooding Mediation Project,"$2,000,000.00 ",LaHood,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of South Beloit ,Lift Station and Force Main Improvements Project,"$750,000.00 ",LaHood,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Riverhead ,Water Service Expansion,"$2,250,000.00 ",LaLota,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Smithtown ,Water Service Expansion,"$1,086,400.00 ",LaLota,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Brookhaven ,Water Infrastructure Improvements,"$1,250,000.00 ",LaLota,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Suffolk County ,Outfall Pipe Replacement,"$1,000,000.00 ",LaLota,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Suffolk County ,Wastewater Treatment Plant Improvements,"$1,000,000.00 ",LaLota,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Williams ,Water Infrastructure Improvements,"$1,000,000.00 ",LaMalfa,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,City of Corning ,Wastewater Treatment Plant Boiler Replacement,"$984,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Allegany County ,Water System Improvements,"$1,250,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,City of Jamestown ,Stormwater Channel Maintenance,"$1,250,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,City of Olean ,Water Filtration Plant Exterior Wall Reconstruction,"$1,000,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Ellicott ,Water Service Extension,"$1,000,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Elma ,Consolidated Wastewater Treatment Plant,"$1,000,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Randolph ,Sanitary Sewer System Improvements,"$1,000,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Dix ,Water and Sewer Service Extension,"$1,000,000.00 ",Langworthy,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CT,Southington Water Department ,Wells 9 and 10 PFAS Treatment,"$1,092,000.00 ",Larson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Bronxville ,Stormwater Drainage Improvement,"$1,092,000.00 ",Latimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Hastings-on-Hudson ,Stormwater Management Project,"$1,092,000.00 ",Latimer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,City of Yonkers ,Water Main Replacement Under I–87,"$1,092,000.00 ",Latimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Elyria ,Sewer Extension Project,"$2,000,000.00 ",Latta,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Pleasantville ,Water Tank Improvements,"$2,250,000.00 ",Lawler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Carmel ,Water Plant Improvements,"$1,250,000.00 ",Lawler,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Yorktown ,Sewer Service Expansion,"$1,250,000.00 ",Lawler,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of North Salem ,Sewer Installation,"$1,250,000.00 ",Lawler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Sleepy Hollow ,Water Main Lining Project,"$983,200.00 ",Lawler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Ossining ,Water Distribution System Upgrades,"$1,000,000.00 ",Lawler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Pasco County ,Booster Station Project,"$1,000,000.00 ",Lee (FL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Hillsborough County ,Water Infrastructure Assessment,"$500,000.00 ",Lee (FL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Lakeland ,Water Treatment Plant Upgrades,"$800,000.00 ",Lee (FL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NV,Clark County Water Reclamation District ,Laughlin Lift Station No. 2 Replacement,"$1,092,000.00 ",Lee (NV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Municipality of Bethel Park ,Piney Fork Interceptor Lining Project,"$520,000.00 ",Lee (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Monroeville Municipal Authority ,Transite Water Line Replacements,"$1,092,000.00 ",Lee (PA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,City of Baton Rouge ,Stormwater Quality Improvement Project,"$2,000,000.00 ",Letlow,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,Town  of  Amite  City  , Regional  Wastewater  Treatment  and  Transmission  Facilities Project,"$2,000,000.00 ",Letlow,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Montara Water and Sanitary District ,Water and Sewer Line Relocation Project,"$1,092,000.00 ",Liccardo,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Beverly Hills ,Water Main Replacement Project,"$1,092,000.00 ",Lieu,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Manhattan Beach ,Cybersecurity of Critical Infrastructure Project,"$1,040,000.00 ",Lieu,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Watsonville ,Pump Station Facilities Project,"$1,092,000.00 ",Lofgren,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of San Juan Bautista ,Drinking Water Supply Regionalization,"$1,092,000.00 ",Lofgren,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,County of Monterey ,San Lucas Water Treatment Project,"$1,092,000.00 ",Lofgren,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Woodward ,Wastewater Plant Upgrades,"$1,150,000.00 ",Lucas,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,City of Stillwater ,Transmission Line Project,"$1,000,000.00 ",Lucas,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OK,City of Guymon ,Water System Improvements,"$1,150,000.00 ",Lucas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OK,City of Enid ,Solids Plant Relocation,"$850,000.00 ",Lucas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Clearwater ,Stormwater Improvement Project,"$1,750,000.00 ",Luna,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Treasure Island ,Wastewater Collection System Lining Project,"$1,600,000.00 ",Luna,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Pinellas County Board of Commissioners ,Pump Station Improvement Project,"$750,000.00 ",Luna,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris  County  Flood  Control  District  , West  Little  York  Stormwater  Detention  Basin Project,"$1,250,000.00 ",Luttrell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris County Flood Control District ,Stormwater Detention Basin Project,"$750,000.00 ",Luttrell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,RI,City of Cranston ,Stormwater Management Project,"$1,092,000.00 ",Magaziner,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,RI,Town of Westerly ,Sewer Relining Project,"$680,000.00 ",Magaziner,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Big Plains Water Special Service District ,Transmission Pipeline Project,"$2,000,000.00 ",Maloy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,UT,Salt Lake County ,Central Valley Water Treatment Facility Upgrades,"$1,000,000.00 ",Maloy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,UT,Santa Clara City ,Sewer Line Expansion,"$1,250,000.00 ",Maloy,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Bountiful City ,Water System Improvements,"$1,750,000.00 ",Maloy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,UT,Central Iron County Water Conservancy District ,Effluent Reuse Project,"$1,750,000.00 ",Maloy,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Verona ,Durhamville Sewer District Project,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Elbridge ,Water System Improvements Project,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Minoa ,Wastewater Treatment Plant Improvements,"$565,000.00 ",Mannion,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,City of Syracuse ,Lead Service Line Replacements,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Onondaga County Water Authority ,Lead Service Lines Replacement Project,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Tully ,Water Source Replacement and Transmission Project,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Aurora ,Water Treatment Plant and System Improvements,"$1,092,000.00 ",Mannion,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Port St. Lucie ,Stormwater Quality Project,"$750,000.00 ",Mast,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,GA,City of South Fulton ,Stormwater Improvement Project,"$1,092,000.00 ",McBath,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of East Point ,PFAS Treatment Facility Project,"$1,092,000.00 ",McBath,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Fairburn ,Water Infrastructure Upgrades,"$1,092,000.00 ",McBath,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,GA,City of East Point ,Norman Berry Drive Stormwater Repairs,"$1,092,000.00 ",McBath,Williams (GA)
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of College Park ,Lead/Galvanized Water Pipeline Replacement,"$1,092,000.00 ",McBath,Williams (GA)
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,DE,Town of Smyrna ,Well and Water Treatment Plant Project,"$1,092,000.00 ",McBride,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Lago Vista ,Wastewater Treatment and Collection System Expansion Project,"$750,000.00 ",McCaul,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Bryan ,Wastewater Treatment Plant Construction,"$1,500,000.00 ",McCaul,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of College Station ,Water and Wastewater Line Replacement Project,"$750,000.00 ",McCaul,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Brown City ,Sewer System Improvements,"$2,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Village of Reese ,Stormwater Mitigation Improvements,"$960,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Bad Axe ,Water Infrastructure Project,"$750,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Charter Township of Chesterfield ,Water Main Replacement,"$2,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Harbor Beach ,Transmission Main Improvements,"$2,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Village of Millington ,Water and Sewer Infrastructure Replacement,"$1,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Imlay City ,Lead Service Lines and Water Lines Replacement,"$1,750,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Charter Township of Fort Gratiot,Sewer System Upgrades,"$1,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Sandusky ,Water Infrastructure Improvements,"$925,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Oakland County ,Sanitary Sewer Extension Project,"$750,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,St. Clair Township ,Sanitary Pump Station Rehabilitation,"$1,220,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Charter Township of Independence ,Water Main Extension,"$1,000,000.00 ",McClain (MI),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Town of Oakland ,Water System Improvements Project,"$1,092,000.00 ",McClain Delaney,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Charles City County ,Sewer Collection System Modernization Project,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Hopewell ,Hopewell Heretick Avenue Stormwater Project,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,City of Petersburg ,Poor Creek Rehabilitation,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Surry County ,Wastewater Improvements,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Town of Lawrenceville ,Wastewater Treatment Facility Expansion Project,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,City of Colonial Heights ,Waterline Replacement Project,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Henrico County ,White Oak Water System Extensions,"$1,092,000.00 ",McClellan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Prince George County ,Beechwood Manor Asbestos Pipe Replacement,"$800,000.00 ",McClellan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Gem Lake ,Municipal Water Supply Project,"$1,092,000.00 ",McCollum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Stillwater ,PFAS Water Treatment Facility,"$1,092,000.00 ",McCollum,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Roswell ,Water Storage and Redundancy Project,"$1,000,000.00 ",McCormick,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Charter Township of Fenton ,Water Line Replacement Project,"$1,092,000.00 ",McDonald Rivet,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Linden ,Water Distribution System Modernization,"$1,092,000.00 ",McDonald Rivet,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Midland ,Pump Station Emergency Power Generator Project,"$600,000.00 ",McDonald Rivet,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Town of East Spencer ,Water and Sewer Line Replacement Project,"$1,250,000.00 ",McDowell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,City of Greensboro ,Water and Sewer Line Extension Project,"$1,000,000.00 ",McDowell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Louisville-Jefferson County Metropolitan Sewer District ,Drainage Response Initiative,"$1,000,000.00 ",McGarvey,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Louisville-Jefferson  County  Metropolitan  Sewer  District  , Odor  Mitigation  and  Catch Basin Rehabilitation,"$1,092,000.00 ",McGarvey,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,Louisville Water Company ,Lead Service Line Replacement,"$1,092,000.00 ",McGarvey,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Holliston ,Downtown Sewer District Project,"$1,092,000.00 ",McGovern,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Leicester Water Supply District ,Interconnection Project,"$950,000.00 ",McGovern,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,City of Orange Township ,Water and Sewer Main Replacement,"$1,092,000.00 ",McIver,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of West Orange ,Pumping Station Improvement Project,"$1,048,000.00 ",McIver,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,City of Orange Township ,Drinking Water Main Relocation Project,"$1,092,000.00 ",McIver,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,North Hudson Sewerage Authority ,Wastewater Treatment Plant Reconstruction,"$1,092,000.00 ",Menendez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Town of Guttenberg ,CSO Pipe Improvement Project,"$1,092,000.00 ",Menendez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of North Bergen ,Woodcliff Drainage Improvements and Sewer Rehabilitation,"$1,092,000.00 ",Menendez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,City of Elizabeth ,Lead Service Line Replacement Project,"$1,000,000.00 ",Menendez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IN,Greene County ,Water and Wastewater Expansion Project,"$2,000,000.00 ",Messmer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Williamsport Municipal Water Authority ,Transmission Water Line Replacement Project,"$1,000,000.00 ",Meuser,
