Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Health & Human Services,Health Resources and Services Administration, MS,Mississippi State Department of Health, the direct certification of healthcare staff in obstetrics life support and neonatal resuscitation and for program coordination,"$250,000 ",Hyde-Smith,
Department of Health & Human Services,Health Resources and Services Administration, KS,Mitchell County Hospital Health Systems, facilities and equipment to renovate and expand the Emergency Department and rehabilitation spaces,"$1,714,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, WV,Mon Health Medical Center, equipment for technical infrastructure upgrades and cybersecurity technology,"$8,100,000 ",Capito, Justice
Department of Health & Human Services,Health Resources and Services Administration, WV,Mon Health Medical Center," facilities and equipment for renovation of clinical and kitchen space, elevator modernization, and improvements to critical infrastructure","$5,485,000 ",Capito,
Department of Health & Human Services,Health Resources and Services Administration, AL,Monroe County Hospital, acquisition of mammography and CT scan equipment,"$500,000 ",Britt, Tuberville
Department of Health & Human Services,Health Resources and Services Administration, NY,Montefiore Medical Center, facilities and equipment to increase power capacity,"$1,000,000 ",Gillibrand, Schumer
Department of Health & Human Services,Health Resources and Services Administration, OR,Morrow County Health District, equipment to provide imaging services,"$652,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, ME,Mount Desert Island Biological Laboratory, facilities and equipment for construction of the Center for Advancing Science Education,"$1,935,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, KY,Mountain Comprehensive Health Corporation, facilities and equipment for construction of autism treatment facility,"$1,500,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, OK,Murry State College, facilities and equipment for construction of nursing education center and acquisition of nursing simulation laboratory equipment,"$3,000,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, LA,Natchitoches Regional Medical Center, facilities and equipment to acquire and install PET scanner and CT machine,"$4,035,000 ",Cassidy, Kennedy
Department of Health & Human Services,Health Resources and Services Administration, CO,National Jewish Health, facilities and equipment to improve treatment of respiratory diseases,"$2,350,000 ",Bennet,
Department of Health & Human Services,Health Resources and Services Administration, NY,Nazareth University, facilities and equipment to renovate a classroom space for health professionals,"$1,000,000 ",Schumer,
Department of Health & Human Services,Health Resources and Services Administration, VA,Neighborhood Health," facilities and equipment to renovate a clinic to provide medical, dental, and behavioral healthcare","$1,521,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, KS,Neosho Memorial Regional Medical Center, facilities and equipment for renovation of the Cardiac Rehabilitation Center and for acquisition of imaging equipment,"$1,220,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, NV,Nevada State University, facilities and equipment to construct a health education center,"$2,000,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, NH,New England College, facilities and equipment to improve training of health professionals,"$775,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, NY,New York Stem Cell Foundation Inc, facilities and equipment to construct a precision medicine center,"$5,000,000 ",Gillibrand, Schumer
Department of Health & Human Services,Health Resources and Services Administration, RI,Newport County Community Mental Health Center Inc, facilities and equipment to improve access to behavioral health services,"$1,000,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, AZ,North Country HealthCare, facilities and equipment to construct a dental clinic,"$1,800,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, PA,North Penn Comprehensive Health Services, facilities and equipment to construct a dental clinic,"$500,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, CO,Northeast Colorado Health Department, facilities and equipment to construct a public health facility,"$3,041,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, OR,Northeast Oregon Area Health Education Center Inc, equipment to provide obstetrics training,"$163,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, OK,Northeastern Oklahoma Community Health Centers Inc, facilities and equipment to support construction of new primary care clinic,"$2,500,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, OK,Northeastern State University, facilities and equipment for construction and renovation of nursing simulation laboratory and for the acquisition of nursing simulation laboratory equipment,"$877,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, VT,Northeastern Vermont Regional Hospital, facilities and equipment to expand pharmacy services,"$1,400,000 ",Welch,
Department of Health & Human Services,Health Resources and Services Administration, VA,Northern Neck-Middlesex Free Health Clinic, facilities and equipment to provide dental services,"$1,000,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, CT,Norwalk Community Health Center Inc," facilities and equipment, including for a mobile clinic","$907,000 ",Blumenthal, Murphy
Department of Health & Human Services,Health Resources and Services Administration, VT,Norwich University, expanding rural nursing education and the purchase of equipment,"$557,000 ",Welch,
Department of Health & Human Services,Health Resources and Services Administration, NY,NYU Langone Hospitals, equipment to support imaging services,"$1,000,000 ",Schumer,
Department of Health & Human Services,Health Resources and Services Administration, MI,Oakland Integrated Healthcare Network, facilities and equipment to construct a health clinic,"$5,500,000 ",Slotkin,
Department of Health & Human Services,Health Resources and Services Administration, LA,Ochsner LSU Health—Monroe Medical Center," acquisition of equipment for the labor and delivery department, neonatal intensive care unit department, and preand post-partum care department","$1,010,000 ",Kennedy,
Department of Health & Human Services,Health Resources and Services Administration, GA,Ogeechee Technical College, facilities and equipment to improve training for health professionals,"$1,064,000 ",Warnock,
Department of Health & Human Services,Health Resources and Services Administration, OH,Ohio Christian University, acquisition of advanced simulation lab equipment,"$1,168,000 ",Moreno,
Department of Health & Human Services,Health Resources and Services Administration, OK,Oklahoma Primary Care Association, equipment to support electronic health record modernization at Federally Qualified Health Centers in Oklahoma,"$2,000,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, NY,One Brooklyn Health System Inc, equipment for a neonatal intensive care unit,"$1,182,000 ",Gillibrand,
Department of Health & Human Services,Health Resources and Services Administration, OR,Oregon Institute of Technology," facilities and equipment, including mobile dental clinics","$1,700,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, IL,OSF HealthCare System, facilities and equipment to construct a dental clinic,"$2,000,000 ",Durbin,
Department of Health & Human Services,Health Resources and Services Administration, OK,OU Health Partners Inc., acquisition of mobile stroke units and telehealth equipment,"$4,584,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, IL,Parkland College District 505, facilities and equipment to construct a dental clinic,"$3,500,000 ",Durbin,
Department of Health & Human Services,Health Resources and Services Administration, AR,Philander Smith University, facilities and equipment for improvements to the Health and Science Center and acquisition of a mobile unit for the nursing program,"$7,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, VA,Piedmont Access To Health Services, equipment to purchase a mobile unit to provide vision services,"$250,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, ME,Pines Health Services, facilities and equipment for construction of a new health center for Pines Health Services to support primary care,"$8,900,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, ME,Portland Recovery Community Center, facilities and equipment for construction of Friends and Family Center for peer recovery services,"$2,647,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, SC,Prisma Health-Upstate, equipment for acquisition of oncology equipment,"$5,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, HI,Project Vision Hawaii," facilities and equipment to increase access to dental, vision, and hearing screenings","$810,000 ",Hirono, Schatz
Department of Health & Human Services,Health Resources and Services Administration, NM,Pueblo of Pojoaque, facilities and equipment to expand a behavioral health facility,"$2,303,000 ",Heinrich,
Department of Health & Human Services,Health Resources and Services Administration, NV,Pyramid Lake Paiute Tribe, facilities and equipment to expand a Tribal health clinic,"$4,000,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, WI,Racine County, facilities and equipment to construct a mental health facility,"$5,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, MN,Range Mental Health Center, facilities and equipment to improve accessibility and security,"$1,091,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, MT,Red Shield 8 Nations Inc., facilities and equipment for construction of behavioral health treatment center,"$3,545,000 ",Sheehy,
Department of Health & Human Services,Health Resources and Services Administration, HI,Rehabilitation Hospital of the Pacific, equipment to replace patient beds,"$1,098,000 ",Hirono, Schatz
Department of Health & Human Services,Health Resources and Services Administration, RI,Rhode Island Hospital, equipment to provide dental services and patient monitoring,"$200,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, RI,RI Department of Behavioral Health, equipment to replace patient beds,"$2,988,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, NY,Richmond Medical Center, facilities and equipment to renovate a neonatal intensive care unit,"$2,000,000 ",Gillibrand, Schumer
Department of Health & Human Services,Health Resources and Services Administration, CA,Ridgecrest Regional Hospital, facilities and equipment to construct a behavioral health facility,"$1,800,000 ",Padilla, Schiff
Department of Health & Human Services,Health Resources and Services Administration, AZ,Rincon Valley Fire District, equipment to provide cardiac care,"$300,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, NH,Rivier University, equipment to purchase a mobile medical van,"$317,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, NY,Rochester General Hospital, facilities and equipment to establish a hospital logistics hub,"$800,000 ",Gillibrand, Schumer
Department of Health & Human Services,Health Resources and Services Administration, SC,Roper St. Francis Hospital, facilities and equipment to support foundational and structural construction of new hospital,"$1,776,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, ME,Rumford Hospital," facilities and equipment to renovate, expand, and provide diagnostic and patient room equipment for the Emergency Department","$6,400,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, NJ,RWJBarnabas Health, equipment to support health professional training programs,"$968,000 ",Booker, Kim
Department of Health & Human Services,Health Resources and Services Administration, DE,Saint Francis hospital, facilities and equipment to construct an outpatient pharmacy,"$1,475,000 ",Coons,
Department of Health & Human Services,Health Resources and Services Administration, KS,Salina Family Healthcare Center, facilities and equipment for construction of a new clinical education facility,"$3,261,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, IL,Sauk Valley Voices of Recovery, facilities and equipment to purchase a mobile clinic,"$222,000 ",Duckworth,
Department of Health & Human Services,Health Resources and Services Administration, WA,Sea Mar Community Health Centers, equipment to provide dental services,"$1,650,000 ",Murray,
Department of Health & Human Services,Health Resources and Services Administration, WA,Seattle Children’s Hospital, facilities and equipment to construct a behavioral health stabilization unit,"$3,000,000 ",Murray,
Department of Health & Human Services,Health Resources and Services Administration, WA,Seattle Indian Health Board, facilities and equipment to construct a health clinic,"$4,500,000 ",Murray,
Department of Health & Human Services,Health Resources and Services Administration, NC,SECU Family House at UNC Hospitals, facilities and equipment to support the acquisition and installation of commercial-grade generator,"$316,000 ",Tillis,
Department of Health & Human Services,Health Resources and Services Administration, AK,Seldovia Village Tribe Health & Wellness, acquisition of dental and physical therapy equipment and medical treadmill,"$332,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, SC,Self Regional Healthcare, facilities and equipment to construct a new Rural Health Clinic,"$4,600,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, NH,Seven Hills New Hampshire Inc, facilities and equipment to improve access to clinical services,"$1,350,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, MS,Singing River Health System, facilities and equipment to acquire and install generators,"$1,500,000 ",Hyde-Smith, Wicker
Department of Health & Human Services,Health Resources and Services Administration, MD,Smithsburg Emergency Medical Services Inc, equipment to provide ambulance services,"$250,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, GA,South Georgia Medical Center, facilities and equipment to support maternal and infant care,"$1,581,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, MA,South Shore Hospital, facilities and equipment to increase accessibility,"$1,500,000 ",Markey, Warren
Department of Health & Human Services,Health Resources and Services Administration, CO,South-Central Colorado Seniors Inc, facilities and equipment for a resource center for older adults,"$840,000 ",Hickenlooper,
Department of Health & Human Services,Health Resources and Services Administration, GA,Southern Regional Medical Center, facilities and equipment to construct a sickle cell wellness center,"$1,222,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, AL,Southern Research Institute, acquisition of biotechnology research equipment,"$2,000,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, CO,Southwest Health System Inc, facilities and equipment to expand trauma diagnostic imaging services,"$1,950,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, MN,Southwest Minnesota State University, facilities and equipment to support nurse training programs,"$1,226,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, CO,Spanish Peaks Regional Health Center, equipment to expand ambulance services,"$500,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, SC,Spartanburg Regional Healthcare System, facilities and equipment to renovate Cardiovascular Recovery Unit and construction of Coronary Care Unit,"$6,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, WA,Spokane County, facilities and equipment to expand a crisis stabilization center,"$3,000,000 ",Murray,
Department of Health & Human Services,Health Resources and Services Administration, ME,Spurwink Services Inc, facilities and equipment for construction of Behavioral Health Center,"$5,666,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, NY,St. Barnabas Hospital, equipment to improve imaging services,"$1,000,000 ",Schumer,
Department of Health & Human Services,Health Resources and Services Administration, NY,St. Bonaventure University, facilities and equipment to support a healthcare workforce training and development program,"$1,100,000 ",Schumer,
Department of Health & Human Services,Health Resources and Services Administration, ME,St. Joseph Hospital," facilities and equipment to renovate, expand, and equip the Emergency Department","$6,800,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, ME,St. Mary’s Regional Medical Center," facilities and equipment to renovate, expand, and modernize the Behavioral Health Emergency Department","$2,619,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, NY,St. Peter’s Hospital, equipment to manage clinical trials using information technology,"$300,000 ",Gillibrand, Schumer
Department of Health & Human Services,Health Resources and Services Administration, LA,St. Tammany Health System, acquisition of nursing and allied health simulation equipment,"$1,050,000 ",Kennedy,
Department of Health & Human Services,Health Resources and Services Administration, AL,St. Vincent’s Blount, facilities and equipment to purchase and install CT scanner,"$1,667,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, CT,StayWell Health Care Inc., facilities and equipment for health information infrastructure and an electronic health records system,"$750,000 ",Blumenthal, Murphy
Department of Health & Human Services,Health Resources and Services Administration, ME,Stephens Memorial Hospital, facilities and equipment for construction to expand Emergency Department and oncology infusion center,"$10,810,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, OK,Stillwater Medical Center Authority, facilities and equipment to expand Stillwater Medical Center Emergency Department trauma center and ambulance bay,"$2,200,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, IL,Stroger Hospital, equipment to improve neonatal care,"$500,000 ",Duckworth,
Department of Health & Human Services,Health Resources and Services Administration, NJ,Sussex County Community College, equipment to provide imaging and dental services,"$428,000 ",Booker,
Department of Health & Human Services,Health Resources and Services Administration, PA,Temple University Hospital, equipment to improve imaging services,"$240,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, DE,The Arc of Delaware, facilities and equipment to renovate for accessibility,"$1,000,000 ",Blunt Rochester, Coons
Department of Health & Human Services,Health Resources and Services Administration, IL,The Board of Trustees of Southern Illinois University (School of Dental Medicine), facilities and equipment to renovate a dental clinic,"$1,100,000 ",Durbin,
Department of Health & Human Services,Health Resources and Services Administration, PA,The Bucktail Medical Center, equipment to improve diagnostic services,"$949,000 ",Fetterman, McCormick
Department of Health & Human Services,Health Resources and Services Administration, DE,The Children’s Advocacy Center of Delaware, facilities and equipment to enhance security,"$443,000 ",Coons,
Department of Health & Human Services,Health Resources and Services Administration, NE,The City of Friend, facilities and equipment for construction and renovation of operating room and purchase of operating room equipment,"$2,500,000 ",Fischer,
Department of Health & Human Services,Health Resources and Services Administration, ME,The Jackson Laboratory, facilities and equipment to purchase research equipment for biomedical imaging and advanced microscopy,"$2,679,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, SC,The Medical University of South Carolina (MUSC), facilities and equipment for acquisition and installation of high performance computing equipment and data center infrastructure upgrades,"$5,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, OR,The Mental Health Association of Oregon, facilities and equipment to construct a behavioral health center,"$750,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, NH,The Mental Health Center of Greater Manchester, facilities and equipment for health information infrastructure and an electronic health records system,"$354,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, RI,Thundermist Health Center, facilities and equipment to expand access to behavioral health services,"$3,740,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, SC,Tidelands Health, facilities and equipment for construction of Tidelands Health’s Comprehensive Women and Children’s Center,"$5,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, VA,Tidewater Community College, facilities and equipment to support EMS training,"$735,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, ME,Town of Bar Harbor Fire Department, equipment for purchase of new ambulance,"$125,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, VT,Town of Morristown, expanding rural health services through a community paramedicine program and to purchase a mobile unit and supplies,"$1,000,000 ",Sanders,
Department of Health & Human Services,Health Resources and Services Administration, NH,Town of Plaistow, equipment to support communication system upgrades and ambulance services,"$1,500,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, RI,Town of South Kingstown Emergency Medical Services, equipment to provide ambulance services,"$450,000 ",Reed,
Department of Health & Human Services,Health Resources and Services Administration, ME,Town of Waldoboro, equipment to purchase a new ambulance,"$350,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, MD,Tuerk House Inc, facilities and equipment to expand access to behavioral health services,"$500,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, MA,Tufts University School of Dental Medicine," equipment to provide dental services, including a mobile clinic","$950,000 ",Markey, Warren
Department of Health & Human Services,Health Resources and Services Administration, CA,Ukiah Adventist Hospital, equipment to improve cardiac care,"$1,250,000 ",Schiff,
Department of Health & Human Services,Health Resources and Services Administration, CO,Uncompahgre Combined Clinics, a patient transportation initiative in a rural area,"$100,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, GA,Union County Hospital Authority dba Union General Hospital Inc, equipment to provide mammography services,"$511,000 ",Warnock,
Department of Health & Human Services,Health Resources and Services Administration, GA,Union County Hospital Authority, equipment to improve cardiac care,"$2,000,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, AK,University of Alaska Anchorage, the acquisition of medical equipment and simulation equipment for academic health programs,"$725,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences, equipment for clinical care and medical and allied health professional education,"$3,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences," equipment for life support vans, mobile care clinics, telemedicine equipment, and supplies for prenatal care","$2,500,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences," facilities and equipment for construction and renovation of the Wellness, Health, and Education Center","$5,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences, facilities and equipment for renovations to UAMS Barton Bridge to Translational Research,"$4,500,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences, facilities and equipment for repair and expansion of the Chemical Waste Facility,"$2,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas for Medical Sciences, facilities and equipment for the expansion and renovation of the Labor and Delivery Unit,"$15,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,University of Arkansas-Fort Smith, facilities and equipment for construction of the Center for Mother and Infant Healthcare,"$15,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, VT,University of Detroit Mercy, facilities and equipment to support dental training,"$4,600,000 ",Sanders, Welch
Department of Health & Human Services,Health Resources and Services Administration, GA,University of Georgia Research Foundation Inc., facilities and equipment to support access to dementia care,"$420,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, HI,University of Hawaii Cancer Center, facilities and equipment to expand preclinical research,"$1,500,000 ",Hirono,
Department of Health & Human Services,Health Resources and Services Administration, KS,University of Kansas Hospital, facilities and equipment to expand Emergency Department,"$10,000,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, KS,University of Kansas Hospital, the acquisition of research equipment for cancer center,"$10,000,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, KY,University of Kentucky, acquisition of laboratory research equipment,"$15,000,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, KY,University of Kentucky, facilities and equipment for construction of biomedical research facility,"$15,000,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, LA,University of Louisiana at Monroe, equipment for acquisition of Mobile Dental Hygiene Unit and dental equipment,"$905,000 ",Kennedy,
Department of Health & Human Services,Health Resources and Services Administration, LA,University of Louisiana Lafayette, acquisition of laboratory research equipment,"$2,500,000 ",Kennedy,
Department of Health & Human Services,Health Resources and Services Administration, KY,University of Louisville, facilities and equipment for construction and renovation of laboratory space and to purchase imaging systems,"$12,500,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, KY,University of Louisville, facilities and equipment to acquire and install DNA sequencing systems and protein analysis systems,"$9,326,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, KY,University of Louisville, facilities and equipment to acquire and install research computer systems and biobank equipment and software,"$8,000,000 ",McConnell,
Department of Health & Human Services,Health Resources and Services Administration, ME,University of Maine System, acquisition of equipment for the health care profession programs,"$1,500,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, ME,University of Maine System, facilities and equipment for construction of Health Care Education Center and purchase of simulators,"$1,900,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, MS,University of Mississippi Medical Center, facilities and equipment to renovate and upgrade research lab,"$4,530,000 ",Hyde-Smith,
Department of Health & Human Services,Health Resources and Services Administration, MS,University of Mississippi Medical Center, facilities and equipment to support Rural Primary Care Provider system and telehealth strategies,"$1,000,000 ",Hyde-Smith, Wicker
Department of Health & Human Services,Health Resources and Services Administration, MS,University of Mississippi, construction of lab space and facilities and acquisition of drug development technology and equipment,"$8,000,000 ",Hyde-Smith, Wicker
Department of Health & Human Services,Health Resources and Services Administration, MT,University of Montana Neural Injury Center, equipment to establish a mobile clinic and laboratory for vestibular and neurosensory health,"$455,000 ",Sheehy,
Department of Health & Human Services,Health Resources and Services Administration, NE,University of Nebraska Board of Regents, facilities and equipment for construction of Infectious Disease Air Transport Training Facility,"$12,000,000 ",Fischer,
Department of Health & Human Services,Health Resources and Services Administration, NV,University of Nevada Las Vegas, facilities and equipment to support a nurse training program,"$2,398,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, NV,University of Nevada Reno, facilities and equipment to construct a cancer research center,"$3,049,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, NM,University of New Mexico, a telementoring program to support training of rural providers,"$1,540,000 ",Lujan,
Department of Health & Human Services,Health Resources and Services Administration, NM,University of New Mexico, facilities and equipment to expand substance use disorder outreach and services,"$1,484,000 ",Heinrich, Luja´n
Department of Health & Human Services,Health Resources and Services Administration, AL,University of North Alabama, acquisition of nursing education equipment,"$1,024,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, GA,University of North Georgia, facilities and equipment to expand a health professions training program,"$700,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, SC,University of South Carolina Aiken," facilities and equipment for construction, renovation, and purchase of simulation equipment and technology for USC–AikenNursing Simulation Lab","$2,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, MS,University of Southern Mississippi, facilities and equipment for construction to upgrade audiology clinic and acquire audiology equipment,"$396,000 ",Hyde-Smith, Wicker
Department of Health & Human Services,Health Resources and Services Administration, MN,University of St. Thomas, equipment to support health professional training programs,"$716,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, VT,University of Vermont and State Agricultural College, a rural community health worker program,"$996,000 ",Welch,
Department of Health & Human Services,Health Resources and Services Administration, VT,University of Vermont Health Network, facilities and equipment to improve safety and building security,"$694,000 ",Welch,
Department of Health & Human Services,Health Resources and Services Administration, WI,University of Wisconsin-Milwaukee School of Nursing, facilities and equipment to construct a rehabilitation facility,"$400,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, WI,Upland Hills Health, facilities and equipment to construct a senior living campus,"$2,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, MD,UPMC Western Maryland Corporation, facilities and equipment to expand access to radiation therapy,"$2,750,000 ",Van Hollen,
Department of Health & Human Services,Health Resources and Services Administration, OR,Valley Family Health Care Inc," facilities and equipment to construct an integrated medical, behavioral, and dental clinic","$1,500,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, KS,Valley Hope Association Foundation, facilities and equipment to renovate and expand residential care treatment center,"$1,771,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, WI,Vernon Memorial Healthcare Foundation Inc., facilities and equipment to construct a clinic with consolidated medical and pharmacy services,"$2,213,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, WI,Versiti, facilities and equipment to construct a research facility,"$3,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, AL,Veterans Recovery Resources," acquisition of addiction treatment, therapy, and patient care equipment","$2,000,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, VA,Virginia Community Healthcare Association, a rural health nutrition program and necessary supplies,"$342,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, WI,Walworth County, facilities and equipment to construct a residential care facility,"$1,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, OR,Wasco County, facilities and equipment to construct a behavioral health center,"$2,000,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, WA,Washington Poison Center, equipment to support building infrastructure and connectivity,"$250,000 ",Murray,
Department of Health & Human Services,Health Resources and Services Administration, WA,Washington State Hospital Association, a labor and delivery training program in rural hospitals,"$1,000,000 ",Cantwell, Murray
Department of Health & Human Services,Health Resources and Services Administration, GA,Wellstar Health System Inc, equipment to provide mammography services,"$500,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, NH,Wentworth Home for the Aged, facilities and equipment to improve building security,"$300,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, HI,West Hawaii Region of the Hawaii Health Systems Corporation, equipment to replace patient beds,"$1,005,000 ",Hirono, Schatz
Department of Health & Human Services,Health Resources and Services Administration, WV,West Virginia University Research Corporation, facilities and equipment for construction and renovation of the WVU School of Dentistry and purchase of dental equipment,"$15,000,000 ",Capito,
Department of Health & Human Services,Health Resources and Services Administration, KS,Wichita State University, the acquisition of health sciences education equipment for Biomedical Campus,"$10,000,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, PA,Wilkes University, facilities and equipment to improve nursing education,"$500,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, WV,Wirt County Health Services Association, facilities and equipment for construction of Coplin Health Systems Parkersburg health clinic and wellness center,"$1,500,000 ",Capito, Justice
Department of Health & Human Services,Health Resources and Services Administration, WV,WVU Medicine Rockefeller Neuroscience Institute, facilities and equipment for construction and infrastructure and acquisition of medical equipment to establish the WVU Rockefeller Neuroscience Institute Center for Neuromodulation and Brain Therapeutics,"$11,934,000 ",Capito,
Department of Health & Human Services,Health Resources and Services Administration, WV,WVU Medicine-Weirton Medical Center, facilities and equipment for Emergency Department renovation and expansion,"$2,450,000 ",Capito,
