Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,CO,Arapahoe County,Arapahoe County Supportive Housing,"$1,000,000.00 ",Crow,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Arapahoe County School District #6,LPS Elementary Schools Playground and Facilities Upgrades,"$1,000,000.00 ",Crow,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City and County of Denver,Energy Efficiency Improvements at Public Facilities,"$850,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Community College of Denver,Lower Downtown Denver Campus Expansion Development,"$850,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City and County of Denver,"Services for Electrification, Energy Efficiency, and Resiliency","$1,000,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City and County of Denver,Central Utility Plant Critical Infrastructure,"$1,200,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Colorado Department of Local Affairs,Renaissance at Civic Center Apartments,"$1,200,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,"Housing Authority of the City and County of Denver, CO",655 Broadway Windows Replacements,"$2,000,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City and County of Denver,Shelter for People Experiencing Homelessness,"$2,000,000.00 ",DeGette,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Town of Mead,Weld County Road 7 Paving Project—Mead to Berthoud,"$1,000,000.00 ",Evans (CO),
Department of Housing and Urban Development,Economic Development Initiatives,CO,Westminster Public Schools,Expanding  Quantum  Workforce  by  Creating  Advanced  Manufacturing Pathways,"$1,000,000.00 ",Evans (CO),
Department of Housing and Urban Development,Economic Development Initiatives,CO,City of Thornton,Northstar Neighborhood Mobility Improvements,"$1,000,000.00 ",Evans (CO),
Department of Housing and Urban Development,Economic Development Initiatives,CO,Aims Community College,Oil and Gas Demonstration Wellhead Project,"$1,197,000.00 ",Evans (CO),
Department of Housing and Urban Development,Economic Development Initiatives,CO,Patrick A. Lucero Public Library,Renovations and Expansion,"$500,000.00 ",Hurd,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Colorado Northwestern Community College,Rangely Airport Terminal Hangar/Lab Renovation,"$643,000.00 ",Hurd,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Colorado State University,Agricultural Facility Improvements,"$1,000,000.00 ",Hurd,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Upper Pine River Special Fire District,Upper Pine River Community Room Construction,"$1,000,000.00 ",Hurd,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Colorado Mountain College,"Colorado Mountain College Trades Center, CO","$250,000.00 ",Neguse,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Larimer County Sheriff’s Office,"Larimer County Sheriff’s Office Emergency Operations Center, CO","$850,000.00 ",Neguse,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City of Boulder,East Boulder Community Center Improvements,"$1,000,000.00 ",Neguse,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Summit County Sheriff’s Office,Pine Cove Ranger Station Facility Development and Construction,"$1,129,322.00 ",Neguse,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Foothills Regional Housing,"Senior  Affordable  Housing—Demolition,  Development  and  Construction","$850,000.00 ",Pettersen,
Department of Housing and Urban Development,Economic Development Initiatives,CO,City of Lakewood,The Commons at Emory Facility Expansion,"$1,500,000.00 ",Pettersen,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Hebron,Hebron Church Street Housing Rehabilitation,"$250,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Vernon,Town of Vernon Daniel’s Mill Remediation and Renovation,"$250,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Norwich,Public Dock Replacement at Howard Brown Park,"$600,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Thompson,Town of Thompson Blighted Property Reuse for Economic Development,"$732,007.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Stonington,Pawcatuck Village Community Park,"$850,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of New London,New London Addition to Early Childhood Center at BP Mission,"$850,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Vernon,Rehabilitation of the Rockville Public Library,"$1,200,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,State of Connecticut Department of Housing,Colchester Country Place Housing Upgrades,"$2,000,000.00 ",Courtney,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Borough of Woodmont,Borough of Woodmont—Stormwater Outlet Structure,"$750,000.00 ",DeLauro,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of New Haven,Westville Manor Redevelopment,"$2,000,000.00 ",DeLauro,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Southern Connecticut State University,"The  Hive  at  Southern:  Community-Based  Innovation,  Sustainability, and Emerging Technologies","$2,254,329.00 ",DeLauro,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Borough of Naugatuck,Borough  of  Naugatuck  Connectivity  &  Transit  Oriented  Development Project—Phase II Pedestrian Bridge,"$2,500,000.00 ",DeLauro,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Central Connecticut State University,Central Connecticut Workforce and Innovation Hub,"$850,000.00 ",Hayes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Thomaston,Seth Thomas Park Revitalization,"$850,000.00 ",Hayes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Southbury,Southbury  Public  Library  Restoration  and  Infrastructure  Improvements,"$1,500,000.00 ",Hayes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Stamford,Glenbrook Community Center Rehabilitation and Upgrades,"$250,000.00 ",Himes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Bridgeport,Bridgeport Police Headquarters Design,"$850,000.00 ",Himes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Ridgefield,Venus Building Complex Parking Lot & Pedestrian Improvements,"$1,000,000.00 ",Himes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Park City Communities,Beardsley Street Housing Reconstruction and Development,"$1,100,000.00 ",Himes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,"Housing Authority of the City of Stamford, Charter Oak Communities",Oak Park Phase 2,"$2,000,000.00 ",Himes,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Goodwin University Educational Services (GUES),Goodwin  University  CTRA  Magnet  Middle  School  Building  Construction,"$250,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Hartford Department of Public Works,North Main Street Drainage Improvements,"$250,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of Hartland,Inclusive Playground Development and Construction,"$250,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Hartford,Hartford Public Library (HPL) Downtown Location Restoration and Renovation,"$500,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of East Hartford Fire Department,Town of East Hartford Fire Station 2,"$850,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Hartford,City of Hartford Road Phase of Hartline Project,"$1,200,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of East Hartford,Hockanum Linear Park Trail Improvements,"$2,000,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,Town of East Hartford,Infrastructure  Improvements  to  Downtown  Main  and  Church  Corners/Center Cemetery National Historic Districts,"$2,000,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,CT,City of Bristol Fire and Police Department,Bristol Fire and Police Department CPAT and ASHER Training Facility,"$3,150,000.00 ",Larson,
Department of Housing and Urban Development,Economic Development Initiatives,DC,District of Columbia,Carver Langston Park Upgrades,"$500,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,District of Columbia,Riggs & South Dakota Triangle Park Upgrades,"$600,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,District of Columbia,Lederer Gardens Facility Improvements,"$850,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,District of Columbia,Duke Ellington Park,"$850,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,University of the District of Columbia,University of the District of Columbia (UDC) Aviation Maintenance Infrastructure Upgrades,"$1,000,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,University of the District of Columbia,University of the District of Columbia (UDC) Firebird Farm Infrastructure Upgrades,"$1,200,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,University of the District of Columbia,University of the District of Columbia (UDC) Research Infrastructure Upgrades,"$2,000,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DC,University of the District of Columbia,University of the District of Columbia (UDC) Food Hubs Infrastructure Upgrades,"$2,000,000.00 ",Norton,
Department of Housing and Urban Development,Economic Development Initiatives,DE,State of Delaware Criminal Justice Council,Reconstruction  and  Rehabilitation  of  Delaware’s  Family  Justice Centers,"$850,000.00 ",McBride,
Department of Housing and Urban Development,Economic Development Initiatives,DE,New Castle County Vocational Technical School District,Workforce  Development  at  the  Delaware  Skills  Center  and  New Castle County Vo-Tech Adult Education Division Facility Acquisition and Renovations,"$1,000,000.00 ",McBride,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Town of Magnolia,Town  of  Magnolia  Water  Storage  Tower  Infrastructure  Improvements,"$1,200,000.00 ",McBride,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"School District of Hernando County, Florida",Hernando County Incubation Center,"$1,000,000.00 ",Bilirakis,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Pasco County,Affordable Supportive Housing for Seniors,"$4,000,000.00 ",Bilirakis,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Manatee County,Gateway Greenway Rails to Trails,"$1,500,000.00 ",Buchanan,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Holmes Beach,Spine Flood Improvements,"$1,500,000.00 ",Buchanan,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Manatee County,Veterans Service Center,"$2,800,000.00 ",Buchanan,
Department of Housing and Urban Development,Economic Development Initiatives,FL,University of South Florida,Center for Entrepreneurship,"$3,000,000.00 ",Buchanan,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Bradenton,Stormwater Facilities,"$3,000,000.00 ",Buchanan,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Hillsborough Community College,Hillsborough Community College Training Center Facility,"$250,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Hillsborough County Public Schools,Chamberlain  High  School  Technical  Training  Center  Development and Construction,"$250,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,University of South Florida,USF Veteran Workforce Support Center,"$850,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,St. Petersburg College (grants accepted under ‘‘Board of Trustees of St. Petersburg College’’),SMART Tech Industry 4.0 Lab,"$850,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Tampa Housing Authority,Robles Park Village Critical Infrastructure Upgrades,"$1,200,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Hillsborough County Public Schools,HCPS Family Community Center Expansion and Equipment,"$2,000,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of the City of St. Petersburg,Ed White Senior Housing Redevelopment,"$3,150,000.00 ",Castor,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Belle Glade,City of Belle Glade NW 5th Street Bridge Safety Improvements,"$250,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Riviera Beach,Elderly Housing Stabilization,"$250,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of Pompano Beach,Blanche  Ely  Estates  Affordable  Housing  Development  and  Construction,"$850,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Deerfield Beach,SE 15th Avenue Bridge Resiliency Upgrades & Replacement,"$850,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Lauderhill,Senior and Veteran Housing Improvements,"$850,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of West Palm Beach,Seaboard Multi-Modal Train Station Improvement Project,"$850,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Lauderdale Lakes,Stormwater Conveyance and Water Quality Improvements,"$1,000,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Lauderhill,Lauderhill Infill Housing Development and Construction,"$3,150,000.00 ",CherfilusMcCormick,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Town of Miami Lakes,Miami Lakes Big Cypress Drainage Improvements,"$973,000.00 ",Diaz-Balart,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Hialeah,City of Hialeah Southeast Stormwater Improvements,"$4,900,000.00 ",Diaz-Balart,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Everglades City,Everglades City Community Center,"$7,200,000.00 ",Diaz-Balart,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Collier County,Veterans Community Center,"$9,000,000.00 ",Diaz-Balart,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Bonita Springs,Rosemary   Drive   Stormwater   Drainage   and   Pedestrian   Safety Project,"$2,000,000.00 ",Donalds,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Town of Fort Myers Beach,Stormwater and Utilities Improvements,"$3,000,000.00 ",Donalds,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Panama City Beach,Potable Water Redundancy Improvements—Phase 2,"$2,000,000.00 ",Dunn,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Panama City,Area Q/R–1: Critical Infrastructure Improvements,"$2,000,000.00 ",Dunn,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Tallahassee,Tallahassee International Airport (TLH) Improvements,"$2,850,000.00 ",Dunn,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Lake Worth Beach Community Redevelopment Agency,Lake Worth Beach Affordable Housing Program,"$850,000.00 ",Frankel,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of West Palm Beach,Dreher Park Water Quality and Habitat Restoration,"$1,000,000.00 ",Frankel,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Delray Beach,"Palm Beach County, Section 219, FL (City of Delray Beach) Critical Infrastructure Improvements","$1,450,000.00 ",Frankel,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of West Palm Beach,Fern Street Extension and Rail Safety Project,"$2,000,000.00 ",Frankel,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Palm Beach State College,Palm  Beach  State  College  Quantum  Computing  Center  Facility Development and Construction,"$2,050,000.00 ",Frankel,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Wauchula,Wastewater Improvements,"$1,000,000.00 ",Franklin,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Hendry County,Hendry Country CR 78 Roadway Improvements,"$1,000,000.00 ",Franklin,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Glades County,Wastewater Treatment Plant Expansion and Improvements,"$2,000,000.00 ",Franklin,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Moore Haven,Haven Water Plant Expansion and Improvements,"$2,000,000.00 ",Franklin,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Bowling Green,Wastewater  Treatment  Facility  Advanced  Wastewater  Treatment Improvements,"$4,987,000.00 ",Franklin,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Valencia College West Campus,West Campus Building 7 Roof Replacement,"$250,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"Orange County, Florida",Orange County Green PLACE Environmentally Sensitive Lands Acquisition Project,"$250,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"Orange County, Florida",IDignity Facility Construction,"$750,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"City of Orlando, Florida",Lake Eola Park Improvements Project,"$850,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of the City of Orlando,Griffin Park Apartments Redevelopment,"$850,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"Orange County, Florida",Orange County Innovation Center in Pine Hills Project,"$850,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of the City of Orlando,Villas at Carver Park Elevator and Shower Improvements Project,"$974,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of the City of Orlando,Roof Replacements at West Oaks Apartments,"$1,200,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Housing Authority of the City of Winter Park,Tuscany at Aloma Interior Renovation,"$1,260,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Orlando,Women  and  Families  Homeless  Shelter  Redevelopment  and  Construction,"$3,000,000.00 ",Frost,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Homestead,Pump Station 11 Upgrades,"$2,200,000.00 ",Gimenez,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Monroe County School District,Historic Reynolds School Renovation Project,"$3,000,000.00 ",Gimenez,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Miami Dade County,Housing  and  Community  Development’s  Sweetwater  Housing  Development Project,"$6,000,000.00 ",Gimenez,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Indian River County,Fellsmere Public Library and Community Resource Center—Public Facilities Development,"$2,000,000.00 ",Haridopolos,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Lakeland,Fire Station 8 Construction,"$984,000.00 ",Lee (FL),
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Tampa,City of Tampa Fire Station #24,"$3,000,000.00 ",Lee (FL),
Department of Housing and Urban Development,Economic Development Initiatives,FL,University of South Florida,"Veterans, Military Families, and First Responder Services Complex","$3,000,000.00 ",Lee (FL),
Department of Housing and Urban Development,Economic Development Initiatives,FL,St. Petersburg College,Lab Construction,"$1,000,000.00 ",Luna,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Palm Beach County,Peanut  Island  Coast  Guard  Facility  and  Kennedy  Presidential Bunker Restoration,"$1,500,000.00 ",Mast,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Indian River State College,Veterans Center Expansion,"$1,800,000.00 ",Mast,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Coral Springs,Everglades Memorial Loop Phase 2,"$800,000.00 ",Moskowitz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Palm Beach County,Burt Aaronson South County Regional Park Improvements,"$850,000.00 ",Moskowitz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Fort Lauderdale,Las Olas Corridor Improvements Project,"$1,200,000.00 ",Moskowitz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Parkland,Park Improvements for Parkland,"$1,500,000.00 ",Moskowitz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Escambia County,South Navy Boulevard Infrastructure Improvement,"$3,000,000.00 ",Patronis,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Kids Hope Alliance,Youth Crisis Center Youth Multi-Purpose Recreation Center,"$534,000.00 ",Rutherford,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Jacksonville Beach,13th Avenue South Access Improvements,"$875,000.00 ",Rutherford,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of West Miami,Senior Activity Center,"$1,000,000.00 ",Salazar,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Miami,Auburndale Flood Improvements,"$5,000,000.00 ",Salazar,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Tohopekaliga Water Authority,Poinciana Village Water Main Replacement Project,"$250,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Valencia College Osceola Campus,Valencia College Outdoor Learning Project,"$500,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Orange County,Orange  County  GreenPLACE  Environmentally  Sensitive  Lands  Acquisition Project,"$850,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Belle Isle,Belle Isle Floodwater Mitigation Project,"$850,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Edgewood,Edgewood Pedestrian and ADA Safety Sidewalk Project,"$850,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"Polk County, Florida",Poinciana Children and Pedestrian Safety Project,"$850,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Osceola County Board of County Commissioners,Oakwood Senior Housing Construction,"$850,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Kissimmee,Columbia  Avenue  Complete  Street  Improvements  and  Revitalization,"$1,200,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Osceola County Board of County Commissioners,Buenaventura Lakes Stormwater Project,"$2,000,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,"City of Orlando, Florida",Narcoossee Road and Vista Lake Stormwater Improvements,"$2,000,000.00 ",Soto,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Fort Lauderdale,City of Fort Lauderdale Public Safety Complex,"$1,000,000.00 ",Wasserman Schultz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Broward College,Broward College: Aviation Training Center Remodel and Expansion,"$1,000,000.00 ",Wasserman Schultz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Miramar,Pembroke Road Expansion and Streetscaping,"$1,050,000.00 ",Wasserman Schultz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Miami-Dade County,Miami-Dade County Saving Rosewood,"$2,000,000.00 ",Wasserman Schultz,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Winter Garden,Lake Apopka Shoreline Restoration Project Phase 1,"$3,000,000.00 ",Webster,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Miami-Dade County Homeless Trust,Mia Casa Senior Housing Expansion,"$250,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Miami Beach,City of Miami Beach Fire Station # 1 Development and Construction,"$250,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Miramar,Miramar Youth Center,"$850,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Miami Dade College,Dyer Federal Courthouse Revitalization for Education Facilities,"$850,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,FL,City of Miami,Liberty Square Launchpad: Small Business Incubator,"$850,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,FL,Miami-Dade County Public Schools,Parkway Educational Complex Upgrades,"$1,000,000.00 ",Wilson,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Plains,City of Plains Streetscaping and Public Facilities Upgrades,"$302,000.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Macon County,"Macon  County  Multipurpose  Facility  Development,  Construction and Equipment","$1,000,000.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Crawford County,Crawford County Youth Center,"$1,000,000.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Whigham,Designing  Future-Ready  Sewage  Infrastructure  for  a  Sustainable Community,"$1,000,000.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Albany,"Albany  Medical  District  Housing  Plan—Phase  I,  Lighthouse  Parcels","$1,129,036.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Americus,Downtown Americus Streetscape Project,"$1,700,000.00 ",Bishop,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Savannah-Georgia Convention Center Authority,Riverwalk  Renovation  and  Critical  Infrastructure  Improvements Project,"$4,200,000.00 ",Carter (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Murray County,Sidewalk Construction,"$1,000,000.00 ",Greene (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Cedartown,Davis Road Widening,"$1,000,000.00 ",Greene (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,University of West Georgia,Love Valley Stormwater Pipe Replacement,"$638,000.00 ",Jack,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Pike County Parks and Recreation Authority,Infrastructure Improvements,"$1,900,000.00 ",Jack,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Thomaston,Pedestrian Safety Downtown Redesign Project,"$3,000,000.00 ",Jack,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"DeKalb County GA Department of Recreation, Parks and Cultural Affairs",County Line Park Improvements Phase II,"$250,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,DeKalb County Government,"Development,  Construction,  Furnishings  and  Equipment  for  Service Center for Children Impacted by Domestic Violence","$250,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"DeKalb County Department of Recreation, Parks & Cultural Affairs",Arabia Mountain Bridge Improvements,"$349,475.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Metro Atlanta Rapid Transit,MARTA Rail & Bus Facilities Safety and Security Upgrades,"$400,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"City of Brookhaven, Georgia",Ashford Forest Preserve Facilities & Restoration,"$560,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"City of Tucker, Georgia",Greenway Connector Project Development and Acquisition,"$850,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Gwinnett County Board of Commissioners,Gwinnett County Loop Trail Segments 3 and 4,"$850,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"DeKalb County Department of Recreation, Parks and Cultural Affairs",Wade Walker Park Improvements,"$850,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Stone Mountain,City of Stone Mountain Medlock Park Improvements,"$1,000,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"DeKalb County GA Department of Recreation, Parks and Cultural Affairs",Rowland Park Construction,"$1,200,000.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,"DeKalb County Department of Recreation, Parks and Cultural Arts",Avondale Dunaire Soccer Field,"$1,985,160.00 ",Johnson (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Cumberland Community Improvement District,New Day Palisades Phase 2 Funding,"$1,000,000.00 ",Loudermilk,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Mableton,"Mableton  Economic  Development  Project—Acquisition,  Remediation, and Blight Removal","$250,000.00 ",McBath,
Department of Housing and Urban Development,Economic Development Initiatives,GA,The City of Douglasville,Fowler Field Improvements,"$250,000.00 ",McBath,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Austell,Austell Recreation Center Development and Construction,"$3,150,000.00 ",McBath,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Rockdale County,Rockdale Veteran Transportation Program Vehicle Acquisition,"$165,200.00 ",Scott (GA),
